iter	Passed	Remaining
0	19	1905
1	31	1564
2	41	1337
3	53	1277
4	64	1223
5	74	1162
6	86	1146
7	98	1130
8	107	1089
9	118	1062
10	128	1040
11	138	1015
12	149	1002
13	161	991
14	171	969
15	182	960
16	194	949
17	204	930
18	215	917
19	226	905
20	235	886
21	246	874
22	257	863
23	266	844
24	278	834
25	289	823
26	299	808
27	311	800
28	322	789
29	331	774
30	342	762
31	353	750
32	362	735
33	373	725
34	384	714
35	394	701
36	405	691
37	417	680
38	426	667
39	436	655
40	448	644
41	456	630
42	469	622
43	482	613
44	491	600
45	502	590
46	513	579
47	521	564
48	529	551
49	535	535
50	542	520
51	550	508
52	558	494
53	567	483
54	578	473
55	588	462
56	600	452
57	611	442
58	619	430
59	632	421
60	644	411
61	660	404
62	677	397
63	692	389
64	706	380
65	719	370
66	734	361
67	748	352
68	762	342
69	777	333
70	791	323
71	801	311
72	812	300
73	826	290
74	840	280
75	853	269
76	864	258
77	877	247
78	891	237
79	903	225
80	917	215
81	931	204
82	943	193
83	957	182
84	969	171
85	983	160
86	992	148
87	1003	136
88	1015	125
89	1024	113
90	1038	102
91	1066	92
92	1095	82
93	1153	73
94	1171	61
95	1187	49
96	1201	37
97	1217	24
98	1233	12
99	1247	0
